Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.1125,-60.925,0,top
C10,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.25,-71.175,0,top
C11,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.2,-62.725,180,top
C12,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,81.7,-73.4125,90,top
C13,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.3125,-60.65,180,top
C14,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.3,-72.375,180,top
C15,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.3,-69.6,180,top
C16,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.675,-74.475,0,top
C17,18p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.85,-70.2125,-90,top
C18,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.8375,-70.875,0,top
C19,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.925,-74.625,-90,top
C2,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.4625,-62.375,0,top
C20,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.1125,-62.4,0,top
C21,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.2,-62.8,90,top
C22,2.2u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.975,-62.85,90,top
C23,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.225,-53.1125,-90,top
C24,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.75,-53.175,-90,top
C3,22u,CP_Elec_5x5.9,98.65,-55.325,-90,top
C4,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.825,-70.4,0,top
C5,18p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.1625,-75.025,0,top
C6,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.15,-59.925,90,top
C7,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.15,-59.1875,90,top
C8,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.7,-54.55,180,top
C9,.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.7375,-56.725,180,top
D1,1N5819WS,D_SOD-123,82.725,-64.825,0,top
D2,1N5819WS,D_SOD-123,82.45,-53.925,180,top
L1,33uH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,103.25,-59.8,-90,top
L2,33uH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,103.7,-52.475,0,top
R1,100R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,82.475,-56.725,0,top
R10,5.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,117.825,-76.65,180,top
R11,39k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.725,-76.85,180,top
R12,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,123.875,-74.5,90,top
R15,39k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113.8,-65.975,180,top
R17,5.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.05,-64.95,0,top
R19,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,128.2125,-73.85,0,top
R2,2.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,83.0625,-67.5,0,top
R3,33,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.4,-66.4125,-90,top
R4,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.0125,-61.525,0,top
R5,47k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.3875,-61.125,0,top
R6,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.9625,-64.45,180,top
R7,120k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,89.0125,-66.375,180,top
R8,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100.825,-66.9375,-90,top
R9,180k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,88.8125,-68.825,180,top
U1,74LVC1G3157,SOT-23-6,91.8375,-73.925,0,top
U2,74LVC1G3157,SOT-23-6,85.8375,-73.925,0,top
U3,AMS1117-5.0,SOT-223-3_TabPin2,90.225,-54.7125,180,top
U4,LM4040DBZ-10,SOT-23,78.4375,-69.625,0,top
U5,TL072,SOIC-8_3.9x4.9mm_P1.27mm,115.9675,-71.525,0,top
U6,PCM5102A,TSSOP-20_4.4x6.5mm_P0.65mm,116.125,-56.2125,0,top
U7,MCP6022,SOIC-8_3.9x4.9mm_P1.27mm,95.275,-65.245,270,top
U8,PCM1808PWR,TSSOP-14_4.4x5mm_P0.65mm,106.1,-68.495,0,top
